epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,340.985,1.21529,0.73631,0.997,0.80801,0.6181,0.71727,0.43273,1.21262,0.67183,0.99259,0.009992,0.00333067,0.009992,0.00333067,0.009992,0.00333067,0.009992,0.00333067
2,614.513,1.27712,0.73356,1.02645,0.78747,0.6071,0.70122,0.41444,1.26069,0.71387,1.02817,0.0195962,0.00653205,0.0195962,0.00653205,0.0195962,0.00653205,0.0195962,0.00653205
3,863.567,1.32385,0.77665,1.05345,0.7962,0.59238,0.68672,0.40751,1.27861,0.73582,1.0479,0.0288043,0.00960144,0.0288043,0.00960144,0.0288043,0.00960144,0.0288043,0.00960144
4,1104.22,1.32167,0.76679,1.05443,0.79329,0.6115,0.70447,0.42127,1.23423,0.68382,1.02921,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1344.87,1.26973,0.71385,1.0329,0.81481,0.63087,0.72586,0.43797,1.20892,0.64735,1.01607,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1585.95,1.23858,0.68079,1.01957,0.8102,0.64064,0.73446,0.44297,1.19752,0.64165,1.01373,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1826.43,1.22194,0.66538,1.01395,0.82265,0.65506,0.75062,0.45739,1.17358,0.60732,0.99952,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,2067.43,1.20634,0.64891,1.00616,0.82602,0.66075,0.75617,0.46437,1.15911,0.5917,0.99216,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2307.98,1.19392,0.63793,1.00079,0.82486,0.66928,0.76249,0.46908,1.15016,0.58979,0.99082,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2549.28,1.18207,0.62555,0.99603,0.82798,0.67414,0.76994,0.47277,1.13989,0.5735,0.98562,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2789.78,1.17293,0.61726,0.99258,0.83009,0.67747,0.77465,0.47657,1.13393,0.57062,0.98351,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,3030.4,1.16898,0.61115,0.98975,0.83278,0.67877,0.77646,0.48093,1.13295,0.56,0.98174,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,3270.81,1.15507,0.60164,0.9845,0.84134,0.68138,0.77773,0.48344,1.12728,0.55479,0.9805,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
