epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,253.912,1.26866,0.82446,1.20462,0.84332,0.72796,0.82958,0.519,1.21995,0.75428,1.19216,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978
2,457.659,1.30041,0.824,1.22897,0.82723,0.70322,0.80306,0.48682,1.28474,0.80156,1.24188,0.0195936,0.00653118,0.0195936,0.00653118,0.0195936,0.00653118,0.0195936,0.00653118
3,642.769,1.37701,0.89338,1.27673,0.80222,0.67216,0.76908,0.44646,1.37635,0.88831,1.31179,0.0288018,0.00960059,0.0288018,0.00960059,0.0288018,0.00960059,0.0288018,0.00960059
4,821.606,1.38463,0.90143,1.29191,0.82112,0.69837,0.79727,0.48035,1.29935,0.81328,1.25266,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1000.24,1.33046,0.85232,1.2624,0.83289,0.71263,0.81112,0.50071,1.26287,0.78028,1.23317,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1178.82,1.29949,0.82284,1.24229,0.83375,0.72228,0.82114,0.5117,1.24887,0.75275,1.21328,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1357.33,1.27642,0.79934,1.22648,0.83981,0.73261,0.82878,0.52413,1.21862,0.72609,1.19445,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1536.49,1.252,0.77905,1.2138,0.84815,0.73598,0.83535,0.52678,1.20888,0.71674,1.19972,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1714.76,1.23955,0.76599,1.2057,0.84883,0.74293,0.83957,0.53503,1.1992,0.69466,1.18877,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1893.17,1.22452,0.75295,1.19826,0.8489,0.7467,0.8425,0.54028,1.18255,0.68508,1.17111,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2071.28,1.21439,0.74267,1.19203,0.85073,0.75283,0.84826,0.54851,1.17143,0.67041,1.17448,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2249.77,1.20094,0.73023,1.18251,0.86103,0.74941,0.85017,0.55068,1.16549,0.66284,1.16293,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2428.1,1.19389,0.72383,1.17658,0.85734,0.7589,0.85372,0.55643,1.15115,0.66254,1.15461,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2606.48,1.18424,0.71484,1.17143,0.86078,0.76491,0.85833,0.56138,1.1472,0.6489,1.15115,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2784.82,1.17484,0.7067,1.16504,0.8627,0.76434,0.86041,0.56306,1.14438,0.64359,1.15154,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,2963.12,1.1675,0.70241,1.16324,0.86328,0.76636,0.86144,0.56595,1.13504,0.64179,1.14899,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3141.85,1.15679,0.69269,1.15583,0.86189,0.77156,0.86333,0.56968,1.12953,0.63675,1.13822,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3319.88,1.14801,0.68847,1.15543,0.86486,0.77094,0.8643,0.57034,1.12948,0.62883,1.14133,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3498.24,1.14576,0.68212,1.14889,0.86664,0.77488,0.86762,0.57477,1.12274,0.61619,1.14009,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3676.37,1.14217,0.68008,1.14516,0.86894,0.77361,0.86859,0.57765,1.11736,0.61362,1.13044,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3854.36,1.13462,0.67289,1.14262,0.86996,0.77511,0.8697,0.57906,1.11384,0.60862,1.13024,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4032.49,1.12827,0.66909,1.1401,0.86622,0.77892,0.87066,0.5805,1.10908,0.60798,1.12692,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,4210.74,1.1222,0.66011,1.13588,0.86879,0.77988,0.87176,0.58336,1.10464,0.60327,1.125,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,4389.29,1.12123,0.65877,1.13259,0.8688,0.78316,0.87404,0.58543,1.1001,0.60131,1.12283,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,4567.44,1.11529,0.65577,1.12844,0.86853,0.78422,0.87552,0.5884,1.09725,0.59403,1.11905,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,4745.8,1.10696,0.65069,1.1284,0.87164,0.78455,0.87615,0.58806,1.09724,0.59391,1.1204,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
