epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,316.638,1.56835,1.68418,1.02388,0.58458,0.45642,0.4357,0.25709,1.37119,1.29735,0.9925,0.009992,0.00333067,0.009992,0.00333067,0.009992,0.00333067,0.009992,0.00333067
2,567.436,1.4673,1.25265,0.9896,0.54135,0.45434,0.4038,0.22922,1.40539,1.37475,1.01942,0.0195962,0.00653205,0.0195962,0.00653205,0.0195962,0.00653205,0.0195962,0.00653205
3,793.233,1.49702,1.26962,1.00398,0.61424,0.42704,0.41317,0.24174,1.41293,1.35714,1.02822,0.0288043,0.00960144,0.0288043,0.00960144,0.0288043,0.00960144,0.0288043,0.00960144
4,1011.02,1.48233,1.22195,1.00101,0.61314,0.50808,0.5126,0.30784,1.33973,1.07078,1.00661,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1228.54,1.42956,1.0989,0.98399,0.58978,0.54197,0.52586,0.30587,1.40152,1.09233,1.0175,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1446.06,1.39809,1.03511,0.97475,0.68352,0.52895,0.58226,0.35387,1.31908,0.99146,0.99206,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1663.95,1.37113,0.9821,0.96583,0.67318,0.58978,0.5945,0.36441,1.30347,0.93405,0.98764,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1881.54,1.35304,0.9484,0.96301,0.72798,0.6049,0.6352,0.3886,1.31301,0.89141,0.99045,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2098.95,1.34221,0.91747,0.95734,0.7112,0.62124,0.63735,0.39779,1.2717,0.86161,0.97574,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2316.96,1.32808,0.89369,0.95377,0.77738,0.58093,0.63732,0.40052,1.26208,0.87364,0.9721,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2534.81,1.32178,0.87493,0.9525,0.73996,0.61721,0.66963,0.42212,1.25495,0.83513,0.97067,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2752.75,1.30703,0.85803,0.94852,0.67526,0.65774,0.67203,0.4241,1.24751,0.81447,0.96631,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2970.65,1.30549,0.8424,0.94627,0.7343,0.63875,0.67534,0.43019,1.24372,0.80509,0.96663,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3188.6,1.29631,0.83437,0.94485,0.70817,0.66429,0.69931,0.44291,1.25244,0.77278,0.96983,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3406.22,1.28593,0.81515,0.94225,0.82989,0.62499,0.71557,0.45455,1.22936,0.75351,0.96184,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3624.31,1.28034,0.80369,0.94089,0.80941,0.66036,0.71943,0.45488,1.23509,0.74654,0.96217,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3841.71,1.27552,0.79823,0.94019,0.779,0.67163,0.71507,0.45943,1.21995,0.73568,0.95802,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4059.59,1.27224,0.78661,0.93887,0.7968,0.67071,0.72226,0.46288,1.21499,0.72644,0.95605,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,4277.48,1.26846,0.77993,0.93724,0.72802,0.69253,0.72452,0.46462,1.21698,0.724,0.95535,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,4495.22,1.25838,0.76607,0.93672,0.77277,0.68715,0.72512,0.46407,1.20473,0.7187,0.95337,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,4712.76,1.25302,0.75957,0.93403,0.74318,0.68456,0.72366,0.46605,1.20627,0.71733,0.95215,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4930.66,1.25167,0.75233,0.9336,0.7674,0.69388,0.72616,0.46808,1.20405,0.70541,0.95241,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
