               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06137,            0.054952,                   0,             0.78273,             0.57645,             0.67034,             0.35839,              0.0469,            0.048196,                   0,            0.070024,           0.0033307,           0.0033307
                   1,            0.048575,            0.049085,                   0,             0.80827,             0.62105,             0.71621,             0.41107,            0.040539,            0.046682,                   0,            0.039892,           0.0065321,           0.0065321
                   2,            0.045369,            0.048694,                   0,             0.80999,             0.62333,             0.71749,             0.41628,            0.039791,            0.047358,                   0,           0.0096281,           0.0096014,           0.0096014
                   3,            0.042196,            0.048251,                   0,             0.82241,             0.63402,             0.73039,             0.43307,            0.038629,            0.046209,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.040182,             0.04702,                   0,             0.82178,             0.64632,             0.73885,             0.44104,            0.037827,            0.045623,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.039264,            0.046365,                   0,             0.82816,             0.65315,             0.74712,             0.44821,            0.037358,            0.045077,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.038535,            0.045773,                   0,             0.83078,              0.6585,             0.75101,             0.45307,            0.036999,            0.044809,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.038073,            0.045146,                   0,             0.83369,             0.65736,             0.75347,             0.45689,            0.036837,            0.044542,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.037582,            0.044981,                   0,             0.83321,             0.66429,             0.75951,             0.46049,            0.036578,            0.044408,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.037319,            0.044865,                   0,             0.83421,             0.66701,             0.76146,             0.46133,            0.036515,             0.04421,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.037158,             0.04461,                   0,             0.83273,             0.67019,             0.76336,             0.46511,            0.036193,            0.043973,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.036879,            0.044158,                   0,             0.83943,             0.67302,             0.76809,             0.46692,            0.036087,            0.043851,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.036757,            0.044196,                   0,              0.8371,             0.67353,             0.76713,             0.46944,            0.035893,            0.043654,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.03651,            0.043615,                   0,             0.83822,             0.67615,             0.76831,             0.47067,            0.035882,            0.043628,                   0,            0.007624,            0.007624,            0.007624
                  14,             0.03628,            0.043476,                   0,             0.83665,             0.67899,             0.77006,             0.47237,            0.035657,            0.043469,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.036119,            0.043629,                   0,             0.83644,             0.67925,             0.77257,             0.47476,            0.035623,            0.043425,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.036058,            0.043336,                   0,             0.84195,             0.67962,             0.77428,             0.47624,            0.035525,            0.043309,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.035765,            0.042997,                   0,             0.84212,             0.68156,             0.77582,             0.47797,            0.035419,            0.043215,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.035748,            0.043081,                   0,             0.83988,              0.6841,             0.77667,             0.47865,            0.035357,            0.043236,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.035627,            0.042684,                   0,             0.83923,             0.68522,              0.7782,             0.47938,            0.035303,            0.043083,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.035499,            0.042498,                   0,             0.84298,             0.68483,             0.77874,             0.48133,            0.035224,            0.043084,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.035348,            0.042497,                   0,             0.84364,             0.68576,             0.78068,             0.48214,            0.035159,            0.042956,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.035273,            0.042584,                   0,             0.83937,             0.68984,             0.78101,             0.48359,             0.03507,            0.042941,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.035036,            0.042105,                   0,             0.84157,             0.69058,             0.78276,             0.48487,            0.035025,            0.042904,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.034932,             0.04208,                   0,             0.84563,              0.6886,             0.78294,             0.48498,            0.035003,            0.042897,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.034774,            0.041735,                   0,             0.84223,             0.69136,              0.7833,             0.48591,             0.03497,            0.042833,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.034746,            0.041753,                   0,             0.84447,             0.69117,             0.78433,             0.48699,            0.034892,            0.042807,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.034669,            0.041736,                   0,             0.84294,             0.69319,             0.78526,             0.48721,            0.034895,            0.042828,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.034431,            0.041618,                   0,             0.84499,              0.6928,              0.7857,             0.48803,            0.034843,            0.042823,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.034354,            0.041185,                   0,             0.84463,             0.69335,             0.78653,             0.48811,            0.034837,            0.042867,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.034298,            0.041464,                   0,             0.84412,             0.69502,             0.78728,             0.48892,            0.034807,            0.042828,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.034113,            0.040783,                   0,             0.84369,             0.69434,             0.78655,             0.48943,            0.034759,            0.042812,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.034094,            0.040901,                   0,             0.84629,             0.69415,             0.78726,              0.4895,            0.034763,            0.042879,                   0,            0.003862,            0.003862,            0.003862
                  33,             0.03396,            0.040483,                   0,             0.84573,             0.69553,             0.78739,             0.48994,            0.034727,            0.042893,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.033858,            0.040476,                   0,             0.84601,             0.69631,             0.78817,             0.49063,             0.03472,            0.042913,                   0,            0.003466,            0.003466,            0.003466
                  35,             0.03366,            0.040065,                   0,             0.84526,             0.69659,             0.78822,             0.49098,             0.03471,            0.042939,                   0,            0.003268,            0.003268,            0.003268
