               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066046,            0.056747,            0.058696,             0.59585,             0.13865,             0.11666,            0.054156,            0.047423,            0.045337,            0.049669,            0.070024,           0.0033307,           0.0033307
                   1,             0.05387,            0.050809,            0.038215,             0.84587,             0.24397,             0.24734,             0.12618,            0.041795,            0.042641,            0.035424,            0.039892,           0.0065321,           0.0065321
                   2,            0.050742,            0.049221,            0.028408,              0.7648,             0.28548,             0.29202,             0.14695,            0.041945,            0.043046,            0.029395,           0.0096281,           0.0096014,           0.0096014
                   3,             0.04779,            0.047753,            0.024225,              0.6546,             0.38085,             0.37523,             0.20371,            0.038944,            0.040764,            0.022432,            0.009406,            0.009406,            0.009406
                   4,            0.045946,            0.046698,            0.020824,             0.73759,             0.41757,             0.44059,             0.24447,            0.037274,            0.039656,            0.020094,            0.009406,            0.009406,            0.009406
                   5,            0.044247,            0.046435,             0.01853,             0.72535,             0.46363,             0.47308,             0.27357,             0.03596,            0.038439,            0.017094,            0.009208,            0.009208,            0.009208
                   6,            0.042152,             0.04469,            0.017024,             0.67765,             0.52719,             0.53086,             0.30982,            0.034913,            0.037475,            0.015958,             0.00901,             0.00901,             0.00901
                   7,            0.040812,            0.042967,            0.015699,             0.72969,             0.51895,             0.53542,              0.3163,            0.034152,            0.037031,            0.014881,            0.008812,            0.008812,            0.008812
                   8,            0.040433,            0.043126,            0.014873,             0.75239,             0.54718,             0.56481,             0.33788,            0.033415,            0.036387,            0.013854,            0.008614,            0.008614,            0.008614
                   9,            0.039753,            0.042661,            0.014096,              0.7603,             0.54316,             0.57702,             0.34796,            0.033317,            0.036277,            0.013123,            0.008416,            0.008416,            0.008416
                  10,            0.039147,            0.042494,            0.013384,             0.78705,             0.55761,             0.61698,              0.3755,            0.032542,            0.035642,            0.011544,            0.008218,            0.008218,            0.008218
                  11,            0.038719,            0.041473,            0.012918,             0.79129,             0.55575,             0.62162,             0.37991,            0.032333,            0.035508,             0.01197,             0.00802,             0.00802,             0.00802
                  12,            0.038221,            0.041194,            0.012484,             0.73978,             0.59209,             0.64111,              0.3898,            0.032342,            0.035354,            0.011218,            0.007822,            0.007822,            0.007822
                  13,            0.037978,            0.040705,            0.012123,              0.7428,             0.60816,             0.65684,             0.40171,            0.031925,            0.035196,            0.010292,            0.007624,            0.007624,            0.007624
                  14,             0.03771,            0.040587,            0.011673,             0.75404,             0.63332,             0.66745,             0.40782,            0.031783,             0.03487,             0.01036,            0.007426,            0.007426,            0.007426
                  15,            0.037568,            0.040846,            0.011194,             0.79001,             0.60965,             0.66651,             0.41209,            0.031584,            0.034689,           0.0096746,            0.007228,            0.007228,            0.007228
                  16,            0.037199,            0.040267,             0.01106,             0.77745,             0.63524,             0.67509,             0.41509,            0.031396,            0.034507,           0.0094732,             0.00703,             0.00703,             0.00703
                  17,            0.037004,            0.040455,            0.010843,             0.81447,             0.63158,              0.6822,             0.42626,            0.031076,            0.034184,           0.0092307,            0.006832,            0.006832,            0.006832
                  18,            0.036826,            0.039708,            0.010337,             0.80997,             0.62925,             0.68569,             0.42832,            0.031051,            0.034089,           0.0089369,            0.006634,            0.006634,            0.006634
                  19,             0.03638,            0.039523,            0.010123,             0.80477,             0.64019,             0.68456,             0.42378,            0.030833,            0.033828,           0.0087645,            0.006436,            0.006436,            0.006436
                  20,            0.036296,            0.039695,             0.01002,             0.80812,             0.63364,             0.68857,             0.42874,            0.030698,            0.033814,           0.0087249,            0.006238,            0.006238,            0.006238
                  21,            0.036625,            0.039968,           0.0098017,             0.81879,             0.64183,             0.69257,              0.4339,            0.030678,            0.033733,           0.0087707,             0.00604,             0.00604,             0.00604
                  22,            0.036233,            0.039643,           0.0097414,              0.7739,             0.65771,             0.69559,             0.43411,            0.030668,            0.033721,            0.008509,            0.005842,            0.005842,            0.005842
                  23,            0.035872,             0.03907,           0.0094144,             0.79844,             0.64951,             0.69828,             0.43797,            0.030479,            0.033569,           0.0083477,            0.005644,            0.005644,            0.005644
                  24,            0.035686,            0.038896,           0.0092846,             0.75629,             0.66104,             0.70402,             0.44273,             0.03036,             0.03354,           0.0082388,            0.005446,            0.005446,            0.005446
