epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,292.006,1.21188,0.72914,1.01791,0.80308,0.61788,0.7186,0.43244,1.19679,0.63406,1.01152,0.009992,0.00333067,0.009992,0.00333067,0.009992,0.00333067,0.009992,0.00333067
2,533.764,1.2368,0.6861,1.02602,0.80111,0.62131,0.71406,0.42813,1.21762,0.66337,1.03284,0.0195962,0.00653205,0.0195962,0.00653205,0.0195962,0.00653205,0.0195962,0.00653205
3,756.866,1.28464,0.72946,1.05401,0.79456,0.59908,0.69321,0.41294,1.25293,0.68521,1.05823,0.0288043,0.00960144,0.0288043,0.00960144,0.0288043,0.00960144,0.0288043,0.00960144
4,973.337,1.29648,0.73229,1.06167,0.80758,0.61542,0.71144,0.42681,1.21992,0.65115,1.0417,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1190.07,1.25067,0.68868,1.04176,0.81445,0.63379,0.7322,0.44098,1.19524,0.62392,1.03228,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1406.74,1.22506,0.66228,1.03089,0.82443,0.64678,0.74465,0.4515,1.18047,0.60468,1.01825,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1623.72,1.20923,0.64499,1.02368,0.82026,0.65433,0.74916,0.45557,1.16957,0.60207,1.01602,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1840.73,1.19435,0.62988,1.01702,0.83045,0.66264,0.7595,0.46415,1.1559,0.58419,1.00697,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,2057.78,1.1854,0.62016,1.01134,0.82315,0.67159,0.76469,0.46874,1.15294,0.57338,1.00127,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2275.9,1.17316,0.60842,1.00474,0.82711,0.6735,0.76821,0.47282,1.14163,0.56325,1.0003,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2492.8,1.16644,0.60285,1.00221,0.8396,0.67624,0.77413,0.47656,1.13609,0.55795,0.99726,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2709.82,1.16079,0.59489,0.99943,0.83836,0.67723,0.77451,0.47916,1.12911,0.54877,0.99646,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2926.64,1.14946,0.58833,0.99279,0.84039,0.68182,0.77915,0.48343,1.12661,0.54251,0.9895,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,3143.8,1.14553,0.58219,0.99191,0.84169,0.68479,0.78191,0.48547,1.12274,0.53604,0.99211,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3360.45,1.14053,0.57591,0.98663,0.84029,0.68952,0.78647,0.4873,1.1206,0.5347,0.98638,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,3578.56,1.1333,0.56962,0.9828,0.84444,0.68945,0.78628,0.48875,1.11313,0.52996,0.98513,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3795.15,1.13098,0.56743,0.98402,0.84441,0.69378,0.78741,0.49178,1.11092,0.52557,0.98497,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,4011.83,1.12438,0.56329,0.98257,0.84245,0.69648,0.79037,0.49362,1.10634,0.52319,0.98168,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,4228.55,1.12294,0.55874,0.97997,0.84562,0.69758,0.79326,0.4944,1.10688,0.51957,0.98281,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,4445.37,1.11782,0.55515,0.97775,0.84684,0.7002,0.79472,0.49627,1.10528,0.51585,0.97945,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,4661.92,1.11233,0.55244,0.97718,0.84981,0.69998,0.79656,0.49754,1.10316,0.51341,0.97981,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,4878.76,1.11296,0.54704,0.97516,0.84852,0.70282,0.79732,0.49881,1.10259,0.50982,0.98061,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,5095.38,1.10787,0.54511,0.97439,0.84954,0.70428,0.79922,0.50021,1.10049,0.50888,0.97868,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,5312.05,1.10442,0.54016,0.97007,0.84821,0.70541,0.79955,0.50183,1.09667,0.50523,0.97366,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,5529.45,1.10033,0.53796,0.96859,0.84646,0.71055,0.80176,0.50338,1.09667,0.50313,0.97476,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,5746.2,1.09497,0.53357,0.96857,0.84847,0.71124,0.80345,0.5042,1.09652,0.50209,0.97565,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,5962.61,1.08952,0.5278,0.96392,0.84791,0.71209,0.80378,0.50498,1.09333,0.49889,0.97376,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,6179.32,1.08819,0.5257,0.96494,0.85027,0.71168,0.80527,0.50569,1.09412,0.49726,0.97501,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,6395.77,1.08703,0.52415,0.96153,0.84716,0.7139,0.80499,0.50619,1.09267,0.49626,0.97132,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,6612.91,1.07802,0.51811,0.96031,0.84719,0.71361,0.80597,0.50663,1.09209,0.49548,0.97261,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,6829.31,1.07746,0.51563,0.95927,0.84808,0.71525,0.80631,0.50723,1.09324,0.49311,0.97397,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,7045.97,1.07716,0.51364,0.95635,0.84637,0.7188,0.80799,0.50798,1.09281,0.49202,0.97221,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,7262.4,1.07014,0.50932,0.95187,0.84746,0.71918,0.80879,0.50853,1.09292,0.49118,0.97111,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,7479.35,1.0669,0.50756,0.95522,0.85059,0.71879,0.80945,0.50918,1.09309,0.49041,0.97332,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
