epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,217.366,1.27244,0.81547,1.2263,0.84852,0.72679,0.82988,0.52972,1.18758,0.68544,1.16052,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978,0.00998934,0.00332978
2,396.773,1.26055,0.7839,1.21583,0.83085,0.70306,0.80589,0.4964,1.24673,0.75698,1.20785,0.0195936,0.00653118,0.0195936,0.00653118,0.0195936,0.00653118,0.0195936,0.00653118
3,562.275,1.32676,0.84387,1.25612,0.82561,0.67944,0.78786,0.4778,1.2949,0.79459,1.25866,0.0288018,0.00960059,0.0288018,0.00960059,0.0288018,0.00960059,0.0288018,0.00960059
4,723.099,1.34723,0.86238,1.27982,0.83326,0.70724,0.80566,0.49149,1.2828,0.76726,1.25783,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,883.814,1.30438,0.82257,1.25894,0.84052,0.71454,0.81646,0.50734,1.24795,0.74548,1.23329,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1044.58,1.27708,0.79744,1.24085,0.84653,0.72314,0.82492,0.51956,1.22388,0.7183,1.21727,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1205.32,1.25677,0.77669,1.22497,0.84676,0.72871,0.828,0.52387,1.21134,0.71508,1.20665,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1366.26,1.2361,0.76191,1.21614,0.85648,0.73171,0.83531,0.53215,1.19468,0.69048,1.20343,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1527.09,1.22499,0.74722,1.2084,0.85092,0.74053,0.83975,0.53739,1.18939,0.68632,1.19006,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1688.08,1.2107,0.73804,1.20027,0.85069,0.74472,0.841,0.53972,1.17879,0.6763,1.18068,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1849.05,1.20118,0.72694,1.19323,0.85491,0.74881,0.84607,0.54814,1.16582,0.65728,1.17608,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2010.12,1.18936,0.7148,1.18584,0.86129,0.74961,0.84946,0.55225,1.16102,0.64784,1.17084,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2170.98,1.18188,0.7082,1.17842,0.85648,0.75733,0.85094,0.5558,1.14994,0.64928,1.16725,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2331.94,1.17433,0.70066,1.17519,0.86319,0.76223,0.85676,0.56113,1.14226,0.64019,1.16056,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2493.54,1.16649,0.69407,1.17005,0.86635,0.76161,0.85754,0.56313,1.14117,0.63004,1.15832,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,2657.08,1.15769,0.68859,1.16632,0.86541,0.76468,0.85977,0.56515,1.1355,0.62864,1.15839,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,2819.19,1.14687,0.67859,1.15825,0.86288,0.77083,0.86128,0.56825,1.13009,0.62849,1.14772,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,2980.9,1.13899,0.67595,1.15798,0.86714,0.76951,0.86291,0.57103,1.12476,0.61733,1.14517,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,3145.31,1.13691,0.67012,1.151,0.86639,0.77047,0.86411,0.57224,1.12192,0.61307,1.14371,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,3307.71,1.13468,0.66658,1.14815,0.86715,0.77232,0.86515,0.57387,1.11998,0.60665,1.1446,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,3470.56,1.12565,0.66032,1.14594,0.86671,0.77385,0.86653,0.57606,1.11821,0.60409,1.14071,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,3633.27,1.12057,0.65652,1.14226,0.86233,0.77623,0.8659,0.57647,1.10984,0.602,1.13569,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,3795.08,1.11284,0.64812,1.13898,0.8726,0.77281,0.86875,0.58046,1.10785,0.59626,1.13799,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,3956.03,1.11259,0.64739,1.13659,0.86954,0.77846,0.87035,0.58288,1.10271,0.59551,1.13348,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,4117.08,1.10683,0.6415,1.1332,0.86961,0.78042,0.87064,0.58319,1.10463,0.58828,1.13602,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,4277.95,1.0989,0.63713,1.13073,0.87015,0.7799,0.87077,0.58324,1.10598,0.58644,1.13155,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,4438.66,1.09407,0.6312,1.12384,0.87287,0.77985,0.87246,0.58647,1.09724,0.58058,1.13067,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,4599.5,1.08749,0.62704,1.12351,0.87217,0.78329,0.874,0.58754,1.09839,0.57862,1.13171,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,4760.2,1.08591,0.62343,1.12036,0.8699,0.78389,0.87375,0.58755,1.09711,0.5747,1.12738,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,4921.06,1.07793,0.61952,1.12002,0.87218,0.7828,0.87489,0.58907,1.09595,0.57174,1.12589,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,5081.73,1.07545,0.61514,1.11427,0.8718,0.78736,0.87552,0.59082,1.09201,0.57084,1.12718,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,5242.9,1.07249,0.61153,1.11323,0.87226,0.78635,0.87571,0.59107,1.09237,0.56765,1.1221,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,5403.72,1.06319,0.60546,1.10959,0.87321,0.78571,0.87651,0.59214,1.09027,0.56503,1.12253,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,5564.56,1.05991,0.60074,1.10758,0.8732,0.78761,0.87671,0.59218,1.091,0.56419,1.12331,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,5725.48,1.05637,0.59859,1.10172,0.8724,0.7881,0.87758,0.59362,1.08837,0.56151,1.12006,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,5886.38,1.05025,0.5928,1.09994,0.87446,0.78778,0.87722,0.59263,1.08975,0.56092,1.12217,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,6047.22,1.04317,0.58737,1.09768,0.87712,0.78706,0.87805,0.594,1.08873,0.5575,1.12237,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
