epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,270.566,1.64197,1.79143,1.06416,0.55277,0.41809,0.4029,0.23029,1.44765,1.39743,1.03261,0.009992,0.00333067,0.009992,0.00333067,0.009992,0.00333067,0.009992,0.00333067
2,490.831,1.49814,1.23811,1.01468,0.59334,0.44351,0.44011,0.24867,1.42203,1.2959,1.05574,0.0195962,0.00653205,0.0195962,0.00653205,0.0195962,0.00653205,0.0195962,0.00653205
3,692.805,1.4779,1.21189,1.01507,0.58166,0.48131,0.45795,0.26406,1.41179,1.24192,1.05149,0.0288043,0.00960144,0.0288043,0.00960144,0.0288043,0.00960144,0.0288043,0.00960144
4,888.325,1.46452,1.1692,1.01284,0.66347,0.52018,0.53135,0.31489,1.35186,1.05059,1.03176,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,1083.66,1.42125,1.06864,0.99865,0.65744,0.5465,0.55359,0.32872,1.35877,1.03873,1.02981,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1279.35,1.39578,1.01455,0.99034,0.70583,0.52539,0.55275,0.33213,1.32693,1.01556,1.01923,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1474.87,1.37174,0.9686,0.98133,0.68971,0.571,0.5951,0.36522,1.30449,0.91725,1.00961,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1670.44,1.35317,0.9401,0.97814,0.71592,0.60354,0.63817,0.3949,1.27853,0.88727,1.00091,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1865.52,1.34584,0.91203,0.97271,0.70009,0.59037,0.63757,0.3954,1.28452,0.86288,0.99643,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,2060.93,1.32945,0.88766,0.96784,0.72571,0.58531,0.64183,0.39912,1.26152,0.84697,0.99111,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2256.32,1.32573,0.87077,0.96691,0.78014,0.61162,0.66093,0.41547,1.25996,0.8309,0.98906,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2451.26,1.31022,0.85432,0.96271,0.76194,0.60612,0.66371,0.41779,1.262,0.806,0.99037,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2646.43,1.31082,0.84156,0.96071,0.75223,0.62149,0.67999,0.43171,1.25302,0.79057,0.98746,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2841.92,1.29934,0.83175,0.95836,0.70871,0.67945,0.69583,0.43631,1.24011,0.77119,0.98303,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,3037.14,1.2904,0.81295,0.95553,0.75656,0.65153,0.702,0.4438,1.23743,0.76278,0.98128,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
